SRR6520293	E20_D042253
SRR6520294	E21_D042253
SRR6520295	E22_D042253
SRR6520296	F1_D042253
SRR6520297	F2_D042253
SRR6520298	F3_D042253
SRR6520299	F4_D042253
SRR6520300	H4_B000610
SRR6520301	F5_D042253
SRR6520302	F6_D042253
SRR6520303	F7_D042253
SRR6520304	F8_D042253
SRR6520305	F9_D042253
SRR6520306	F10_D042253
SRR6520307	F11_D042253
SRR6520308	F12_D042253
SRR6520309	F13_D042253
SRR6520310	F14_D042253
SRR6520311	H4_B000610
SRR6520312	F15_D042253
SRR6520313	F16_D042253
SRR6520314	F17_D042253
SRR6520315	F18_D042253
SRR6520316	F19_D042253
SRR6520317	F20_D042253
SRR6520318	F21_D042253
SRR6520319	G1_D042253
SRR6520320	G2_D042253
SRR6520321	G3_D042253
SRR6520322	H5_B000610
SRR6520323	G5_D042253
SRR6520324	G6_D042253
SRR6520325	G7_D042253
SRR6520326	G8_D042253
SRR6520327	G9_D042253
SRR6520328	G10_D042253
SRR6520329	G11_D042253
SRR6520330	G12_D042253
SRR6520331	G13_D042253
SRR6520332	G14_D042253
SRR6520333	H5_B000610
SRR6520334	G15_D042253
SRR6520335	G16_D042253
SRR6520336	G17_D042253
SRR6520337	G18_D042253
SRR6520338	G19_D042253
SRR6520339	G20_D042253
SRR6520340	G21_D042253
SRR6520341	G22_D042253
SRR6520342	H1_D042253
SRR6520343	H2_D042253
SRR6520344	H6_B000610
SRR6520345	H3_D042253
SRR6520346	H4_D042253
SRR6520347	H5_D042253
SRR6520348	H6_D042253
SRR6520349	H7_D042253
SRR6520350	H8_D042253
SRR6520351	H9_D042253
SRR6520352	H10_D042253
SRR6520353	H11_D042253
SRR6520354	H12_D042253
SRR6520355	H6_B000610
SRR6520356	H13_D042253
SRR6520357	H14_D042253
SRR6520358	H15_D042253
SRR6520359	H16_D042253
SRR6520360	H17_D042253
SRR6520361	H18_D042253
SRR6520362	H19_D042253
SRR6520363	H20_D042253
SRR6520364	H21_D042253
SRR6520365	H22_D042253
SRR6520366	H8_B000610
SRR6520367	I1_D042253
SRR6520368	I2_D042253
SRR6520369	I3_D042253
SRR6520370	I4_D042253
SRR6520371	I5_D042253
SRR6520372	I6_D042253
SRR6520373	I7_D042253
SRR6520374	I8_D042253
SRR6520375	I9_D042253
SRR6520376	I10_D042253
SRR6520377	H8_B000610
SRR6520378	I11_D042253
SRR6520379	I12_D042253
SRR6520380	I13_D042253
SRR6520381	I14_D042253
SRR6520382	I15_D042253
SRR6520383	I16_D042253
SRR6520384	I17_D042253
SRR6520385	I18_D042253
SRR6520386	I19_D042253
SRR6520387	I21_D042253
SRR6520388	H11_B000610
SRR6520389	I22_D042253
SRR6520390	J1_D042253
SRR6520391	J2_D042253
SRR6520392	J3_D042253
SRR6520393	J4_D042253
SRR6520394	J5_D042253
SRR6520395	J6_D042253
SRR6520396	J7_D042253
SRR6520397	J8_D042253
SRR6520398	J9_D042253
SRR6520399	A9_B000610
SRR6520400	H11_B000610
SRR6520401	J10_D042253
SRR6520402	J11_D042253
SRR6520403	J12_D042253
SRR6520404	J13_D042253
SRR6520405	J14_D042253
SRR6520406	J15_D042253
SRR6520407	J16_D042253
SRR6520408	J17_D042253
SRR6520409	J18_D042253
SRR6520410	J19_D042253
SRR6520411	H12_B000610
SRR6520412	J20_D042253
SRR6520413	J21_D042253
SRR6520414	J22_D042253
SRR6520415	K2_D042253
SRR6520416	K3_D042253
SRR6520417	K4_D042253
SRR6520418	K5_D042253
SRR6520419	K6_D042253
SRR6520420	K7_D042253
SRR6520421	K8_D042253
SRR6520422	H12_B000610
SRR6520423	K9_D042253
SRR6520424	K10_D042253
SRR6520425	K11_D042253
